Mon Mar 17 20:54:29 2025: ALERT: Anomaly! Packets: 223, Avg Size: 1145.6, Unique IPs: 11, ICMP%: 0.00, Unique MACs: 8, Top IP: 10.11.74.55, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:54:31 2025: ALERT: Anomaly! Packets: 365, Avg Size: 1085.3, Unique IPs: 11, ICMP%: 0.00, Unique MACs: 7, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:54:36 2025: ALERT: Anomaly! Packets: 354, Avg Size: 1255.2, Unique IPs: 5, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:54:38 2025: ALERT: Anomaly! Packets: 250, Avg Size: 1236.2, Unique IPs: 6, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:54:40 2025: ALERT: Anomaly! Packets: 163, Avg Size: 1153.6, Unique IPs: 6, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:54:42 2025: ALERT: Anomaly! Packets: 27, Avg Size: 327.4, Unique IPs: 10, ICMP%: 0.00, Unique MACs: 9, Top IP: 10.11.72.9, Top MAC: d0:39:57:48:72:8d
Mon Mar 17 20:54:57 2025: ALERT: Anomaly! Packets: 187, Avg Size: 1104.3, Unique IPs: 9, ICMP%: 0.00, Unique MACs: 6, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:55:01 2025: ALERT: Anomaly! Packets: 315, Avg Size: 1104.6, Unique IPs: 10, ICMP%: 0.00, Unique MACs: 7, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:55:05 2025: ALERT: Anomaly! Packets: 10, Avg Size: 651.6, Unique IPs: 3, ICMP%: 0.00, Unique MACs: 3, Top IP: 10.11.74.55, Top MAC: d0:39:57:48:82:b5
Mon Mar 17 20:55:18 2025: ALERT: Anomaly! Packets: 116, Avg Size: 1074.8, Unique IPs: 6, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:55:22 2025: ALERT: Anomaly! Packets: 443, Avg Size: 1271.4, Unique IPs: 4, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:55:29 2025: ALERT: Anomaly! Packets: 92, Avg Size: 1161.4, Unique IPs: 7, ICMP%: 0.00, Unique MACs: 6, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:55:33 2025: ALERT: Anomaly! Packets: 6, Avg Size: 118.0, Unique IPs: 4, ICMP%: 0.00, Unique MACs: 4, Top IP: 10.11.74.55, Top MAC: d0:39:57:48:82:b5
Mon Mar 17 20:55:41 2025: ALERT: Anomaly! Packets: 219, Avg Size: 1317.8, Unique IPs: 2, ICMP%: 0.00, Unique MACs: 2, Top IP: 172.217.148.137, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:55:52 2025: ALERT: Anomaly! Packets: 554, Avg Size: 1123.6, Unique IPs: 9, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:55:54 2025: ALERT: Anomaly! Packets: 471, Avg Size: 1285.6, Unique IPs: 7, ICMP%: 0.00, Unique MACs: 2, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
